TreeName,Species,Accession,Ploidal,Group,Group
Azburkartii_NYBG2434,Azbu,Azbu_NYBG2434,NA,SA,HiSeq_S
Azburkartii_NYBG714,Azbu,Azbu_NYBG714,NA,SA,HiSeq_S
Azfragosea_CANB797854,Azfra,Azfra_CANB797854,NA,AUZ,HiSeq_S
Azfragosea_CANB797887,Azfra,Azfra_CANB797887,NA,AUZ,HiSeq_S
Azfragosea_CANB798456,Azfra,Azfra_CANB798456,NA,AUZ,MiSeq_S
Azlyallii_CHR542359,Azlya,Azlya_CHR542359,NA,Sub,HiSeq_S
Azlyallii_CHR542363,Azlya,Azlya_CHR542363,NA,Sub,MiSeq_S
Azlycopodioides_NYBG2433,Azlyc,Azlyc_NYBG2433,2x,SA,HiSeq_S
Azrobusta_CHR617278,Azrob,Azrob_CHR617278,NA,Sub,MiSeq_S
Azsp_CHR617214,Azsp,Azsp_CHR617214,NA,NZ2,HiSeq_S
Azsp_CHR617283,Azsp,Azsp_CHR617283,NA,NZ2,HiSeq_S
Hydrocotyle,Hydrocotyle,Hydrocotyle,NA,Hydrocotyle,MiSeq_F
Azcolensoi_AK289484A,Azcol,Azcol_AK289484,10x,NZ1,MiSeq_S
Azcolensoi_AK289484B,Azcol,Azcol_AK289484,10x,NZ1,MiSeq_S
Azcolensoi_BellA1,Azcol,Azcol_BellA,10x,NZ1,HiSeq_F
Azcolensoi_BellA10,Azcol,Azcol_BellA,10x,NZ1,HiSeq_F
Azcolensoi_BellA5,Azcol,Azcol_BellA,10x,NZ1,HiSeq_F
Azcolensoi_CHR275373,Azcol,Azcol_CHR275373,10x,NZ1,MiSeq_S
Azcolensoi_MauA1,Azcol,Azcol_MauA,10x,NZ1,HiSeq_F
Azcolensoi_MauA5,Azcol,Azcol_MauA,10x,NZ1,HiSeq_F
Azcolensoi_MauA9,Azcol,Azcol_MauA,10x,NZ1,HiSeq_F
Azcolensoi_MauB1,Azcol,Azcol_MauB,10x,NZ1,HiSeq_F
Azcolensoi_MauB10,Azcol,Azcol_MauB,10x,NZ1,HiSeq_F
Azcolensoi_MauB5,Azcol,Azcol_MauB,10x,NZ1,HiSeq_F
Azranunculus_NYBG2447,Azran,Azran_NYBG2447,2x,SA,MiSeq_S
Azallanii_HikA1,Azal,Azal_HikA,4x,NZ1,HiSeq_F
Azallanii_HikA5,Azal,Azal_HikA,4x,NZ1,HiSeq_F
Azallanii_HikA9,Azal,Azal_HikA,4x,NZ1,HiSeq_F
Azallanii_HikB1,Azal,Azal_HikB,4x,NZ1,HiSeq_F
Azallanii_HikB10,Azal,Azal_HikB,4x,NZ1,HiSeq_F
Azallanii_HikB5,Azal,Azal_HikB,4x,NZ1,HiSeq_F
Azallanii_Mah1,Azal,Azal_Mah,4x,NZ1,MiSeq_F
Azallanii_Mah5,Azal,Azal_Mah,4x,NZ1,MiSeq_F
Azallanii_Mah7,Azal,Azal_Mah,4x,NZ1,MiSeq_F
