ID,TreeName
A-fragosea-1_S17_nomerge,Azfragosea_CANB798456
A-hydrocotyloides-1_S16_nomerge,Azhydrocotyloides_CHR598024
A-lyallii-1_S15_nomerge,Azlyallii_CHR542363
A-nitens-1_S14_nomerge,Aznitens_CHR252408
A-pallidia-1_S13_nomerge,Azpallida_CHR387053
A-ranunaulus-1_S12_nomerge,Azranunculus_NYBG2447
A-robusta-1_S11_nomerge,Azrobusta_CHR617278
Azal-Mah1_S4_nomerge,Azallanii_Mah1
Azal-Mah5_S10_nomerge,Azallanii_Mah5
Azal-Mah7_S11_nomerge,Azallanii_Mah7
Azco-AK28A_S10_nomerge,Azcolensoi_AK289484A
Azco-AK28B_S9_nomerge,Azcolensoi_AK289484B
Azco-CHR27_S8_nomerge,Azcolensoi_CHR275373
Azcol-Rak1_S6_nomerge,Azpallida_CHR501035
Azha-Tow3_S3_nomerge,Azhaastii_Tow3
Azha-Tow6_S9_nomerge,Azhaastii_Tow6
Azho-AK16_S7_nomerge,Azhookeri_AK167696
Azho-AK20_S6_nomerge,Azhookeri_AK209018
Azho-AK28_S5_nomerge,Azhookeri_AK288199
Azho-AK35A_S4_nomerge,Azhookeri_AK351327A
Azho-AK35B_S3_nomerge,Azhookeri_AK351327B
Azhy-Port4_S1_nomerge,Hydrocotyle
Azpol-Camp3_S2_nomerge,Azpolaris_Camp3
Azpol-Camp5_S1_nomerge,Azpolaris_Camp5
Azpol-End1_S7_nomerge,Azpolaris_End1
Azpol-End8_S5_nomerge,Azpolaris_End8
Azro-Sta2_S12_nomerge,Azroughii_Sta2
Azro-Sta4-1_S2_nomerge,Azroughii_Sta4B
Azro-Sta4-2_S8_nomerge,Azroughii_Sta4A
S001_Azex_nomerge,Azexigua_Wet1
S002_Azex_nomerge,Azexigua_Wet5
S003_Azex_nomerge,Azexigua_Wet3
S004_Azcoc_nomerge,Azcockaynei_Man1
S005_Azal_nomerge,Azallanii_HikA1
S006_Azex_nomerge,Azexigua_Wet4
S007_Aznit_nomerge,Aznitens_Kah
S008_Azun_nomerge,Azsp_CHR617214
S009_Azha_nomerge,Azcyanopetala_TeA2
S010_Azha_nomerge,Azcyanopetala_TeA10
S011_Azha_nomerge,Azhaastii_Bri6
S012_Azex_nomerge,Azexigua_Dun2
S013_Azha_nomerge,Azcyanopetala_Ire1
S014_Azcol_nomerge,Azcolensoi_MauB1
S015_Azcya_nomerge,Azcyanopetala_Lux1
S016_Azex_nomerge,Azexigua_Dun1
S017_Azcol_nomerge,Azcolensoi_MauB10
S018_Aznit_nomerge,Aznitens_Wai3
S020_Azcoc_nomerge,Azcockaynei_Man10
S021_Azcol_nomerge,Azcolensoi_MauA1
S022_Azcya_nomerge,Azcyanopetala_Lux9
S023_Azal_nomerge,Azallanii_HikB1
S024_Azpa_nomerge,Azpallida_Cra4
S025_Azcol_nomerge,Azcolensoi_BellA10
S026_Azal_nomerge,Azallanii_Rau1
S027_Azro_nomerge,Azroughii_Sta1
S028_Azcya_nomerge,Azcyanopetala_Lux5
S029-Tak1_S29_nomerge,Azhaastii_Tak1B
S029_Azha_nomerge,Azhaastii_Eyr1
S030-Pat10_S30_nomerge,Azhaastii_Pat10B
S030_Azhy_nomerge,Azhydrocotyloides_Dob4
S031_Azha_nomerge,Azhaastii_Pat1
S032_Azha_nomerge,Azhaastii_Tak10
S033_Azro_nomerge,Azroughii_CHR617267
S034_Azal_nomerge,Azallanii_Mau10
S035_Azcy_nomerge,Azcyanopetala_Tak1
S036_Azcoc_nomerge,Azcockaynei_Man5
S037_Azal_nomerge,Azallanii_HikA9
S038_Azha_nomerge,Azhaastii_Tak1A
S039_Azal_nomerge,Azallanii_Mau1
S040_Azhy_nomerge,Azhydrocotyloides_Dun10
S041_Azha_nomerge,Azcyanopetala_Ire3
S042_Aznit_nomerge,Aznitens_Wai4
S043_Azpol_nomerge,Azpolaris_End2
S044_Azho_nomerge,Azhookeri_Cas
S045_Azal_nomerge,Azallanii_Mau5
S046_Azha_nomerge,Azhaastii_Pat10A
S047_Azcol_nomerge,Azcolensoi_MauB5
S048_Azha_nomerge,Azcyanopetala_Ire6
S049_Azhy_nomerge,Azhydrocotyloides_Dob5
S050_Azal_nomerge,Azallanii_HikB5
S051_Aznit_nomerge,Aznitens_Wai1
S052_Azha_nomerge,Azhaastii_Bri10
S053_Azcya_nomerge,Azcyanopetala_Bro3
S054_Azhy_nomerge,Azhydrocotyloides_Dun6
S055_Azal_nomerge,Azallanii_Rau10
S056_Azpa_nomerge,Azpallida_Bro4
S057_Azcol_nomerge,Azcolensoi_BellA5
S058_Azcol_nomerge,Azcolensoi_BellA1
S059_Azha_nomerge,Azhaastii_Pat5
S060_Azal_nomerge,Azallanii_HikA5
S061_Azal_nomerge,Azallanii_Rau5
S062_Azho_nomerge,Azhookeri_Tai
S063_Azcol_nomerge,Azcolensoi_MauA5
S064_Azcy_nomerge,Azcyanopetala_Tak5
S065_Azro_nomerge,Azroughii_Sta3
S066_Azcy_nomerge,Azcyanopetala_Tak10
S067_Azal_nomerge,Azallanii_HikB10
S068_Azha_nomerge,Azhaastii_Tak5
S069_Azha_nomerge,Azhaastii_Eyr5
S070_Azha_nomerge,Azcyanopetala_TeA5
S071_Azha_nomerge,Azhaastii_Bri1
S072_Azcol_nomerge,Azcolensoi_MauA9
S073_Azha_nomerge,Azhaastii_Eyr10
S074_Azcya_nomerge,Azcyanopetala_Bro1
S075_Azpol_nomerge,Azpolaris_Camp2
S076_Azhy_nomerge,Azhydrocotyloides_Dob6
S077_Azpa_nomerge,Azpallida_Cra5
S078_Azro_nomerge,Azroughii_Sta5
S079_Azpa_nomerge,Azpallida_Cra1
S080_Azhy_nomerge,Azhydrocotyloides_Port1
S081_Azpa_nomerge,Azpallida_Bro1
S082_Azpa_nomerge,Azpallida_Bro5
S083_Azha_nomerge,Azhaastii_Tow10
