TreeName,Species,Accession,Ploidal,Group
Azlycopodioides_NYBG2433,Azlyc,Azlycopodioides_NYBG2433,2x,Outgroup
Azrobusta_CHR617278,Azrob,Azrobusta_CHR617278,?x,SUB
Azpolaris_Camp2,Azpol,Azpolaris_Camp2,6x,SUB
Azlyallii_CHR542359,Azlya,Azlyallii_CHR542359,?x,SUB
Azburkartii_NYBG714,Azbur,Azburkartii_NYBG714,?x,Outgroup
Azranunculus_NYBG2447,Azran,Azranunculus_NYBG2447,2x,Outgroup
Azhookeri_Tai,Azho,Azhookeri_Tai,6x,G1
Azcockaynei_Man10,Azcoc,Azcockaynei_Man10,6x,G1
Aznitens_Wai3,Aznit,Aznitens_Wai3,6x,G1
Azroughii_Sta1,Azrou,Azroughii_Sta1,4x,G1
Azallanii_HikB1,Azal,Azallanii_HikB1,4x,G1
Azfragosea_CANB797854,Azfra,Azfragosea_CANB797854,?x,AUZ
Azhaastii_Bri6,Azha,Azhaastii_Bri6,4x,G2
Azhaastii_Eri1,Azha,Azhaastii_Eri1,4x,G2
Azcyanopetala_Bro3,Azcya,Azcyanopetala_Bro3,4x,G2
Azcyanopetala_Tak5,Azcya,Azcyanopetala_Tak5,4x,G2
Azhaastii_Pat10A,Azha,Azhaastii_Pat10A,4x,G2
Azpallida_Bro4,Azpa,Azpallida_Bro4,6x,G2
Azpallida_Cra4,Azpa,Azpallida_Cra4,6x,G2
Azexigua_Wet1,Azex,Azexigua_Wet1,4x,G2
Azhydrocotyloides_Dob6,Azhyd,Azhydrocotyloides_Dob6,4x,G2
Azschizeilema_Hoo,Azsch,Azschizeilema_Hoo,4x,SUB
Azcolensoi_BellA10,Azcol,Azcolensoi_BellA10,10x,G1
